date,product,customer_id,units
2022-01-01,product_a,Kunde_031,2
2022-01-01,product_a,Kunde_066,11
2022-01-01,product_a,Kunde_065,14
2022-01-01,product_a,Kunde_054,8
2022-01-01,product_a,Kunde_046,23
2022-01-01,product_b,Kunde_016,32
2022-01-01,product_b,Kunde_010,203
2022-01-01,product_b,Kunde_102,13
2022-01-01,product_b,Kunde_083,53
2022-01-01,product_b,Kunde_069,69
2022-01-01,product_c,Kunde_065,12
2022-01-01,product_c,Kunde_010,1
2022-01-01,product_c,Kunde_058,38
2022-01-01,product_c,Kunde_061,7
2022-01-01,product_c,Kunde_026,104
2022-01-02,product_a,Kunde_065,96
2022-01-02,product_a,Kunde_071,51
2022-01-02,product_a,Kunde_059,117
2022-01-02,product_a,Kunde_061,4
2022-01-02,product_a,Kunde_069,74
2022-01-02,product_b,Kunde_079,23
2022-01-02,product_b,Kunde_071,5
2022-01-02,product_b,Kunde_097,30
2022-01-02,product_b,Kunde_063,6
2022-01-02,product_b,Kunde_006,0
2022-01-02,product_c,Kunde_087,2
2022-01-02,product_c,Kunde_068,3
2022-01-02,product_c,Kunde_044,45
2022-01-02,product_c,Kunde_062,10
2022-01-02,product_c,Kunde_088,4
2022-01-03,product_a,Kunde_053,6
2022-01-03,product_a,Kunde_093,0
2022-01-03,product_a,Kunde_020,3
2022-01-03,product_a,Kunde_078,2
2022-01-03,product_a,Kunde_084,1
2022-01-03,product_b,Kunde_033,76
2022-01-03,product_b,Kunde_067,122
2022-01-03,product_b,Kunde_013,91
2022-01-03,product_b,Kunde_068,2
2022-01-03,product_b,Kunde_088,133
2022-01-03,product_c,Kunde_073,13
2022-01-03,product_c,Kunde_085,50
2022-01-03,product_c,Kunde_072,63
2022-01-03,product_c,Kunde_016,40
2022-01-03,product_c,Kunde_095,28
2022-01-04,product_a,Kunde_059,9
2022-01-04,product_a,Kunde_024,109
2022-01-04,product_a,Kunde_077,40
2022-01-04,product_a,Kunde_061,23
2022-01-04,product_a,Kunde_103,28
2022-01-04,product_b,Kunde_039,1
2022-01-04,product_b,Kunde_103,2
2022-01-04,product_b,Kunde_061,0
2022-01-04,product_b,Kunde_093,0
2022-01-04,product_b,Kunde_104,1
2022-01-04,product_c,Kunde_100,1
2022-01-04,product_c,Kunde_028,16
2022-01-04,product_c,Kunde_075,253
2022-01-04,product_c,Kunde_021,227
2022-01-04,product_c,Kunde_049,100
2022-01-05,product_a,Kunde_103,37
2022-01-05,product_a,Kunde_028,110
2022-01-05,product_a,Kunde_004,104
2022-01-05,product_a,Kunde_057,21
2022-01-05,product_a,Kunde_093,98
2022-01-05,product_b,Kunde_028,30
2022-01-05,product_b,Kunde_105,1
2022-01-05,product_b,Kunde_070,3
2022-01-05,product_b,Kunde_048,8
2022-01-05,product_b,Kunde_023,7
2022-01-05,product_c,Kunde_053,8
2022-01-05,product_c,Kunde_081,8
2022-01-05,product_c,Kunde_035,1
2022-01-05,product_c,Kunde_051,8
2022-01-05,product_c,Kunde_093,16
2022-01-06,product_a,Kunde_087,5
2022-01-06,product_a,Kunde_023,46
2022-01-06,product_a,Kunde_066,2
2022-01-06,product_a,Kunde_072,7
2022-01-06,product_a,Kunde_078,13
2022-01-06,product_b,Kunde_099,52
2022-01-06,product_b,Kunde_078,9
2022-01-06,product_b,Kunde_067,31
2022-01-06,product_b,Kunde_027,16
2022-01-06,product_b,Kunde_001,22
2022-01-06,product_c,Kunde_092,54
2022-01-06,product_c,Kunde_055,107
2022-01-06,product_c,Kunde_059,32
2022-01-06,product_c,Kunde_007,38
2022-01-06,product_c,Kunde_083,36
2022-01-07,product_a,Kunde_040,14
2022-01-07,product_a,Kunde_027,21
